,Region,Type_Residence,Niveau_Education,Religion,Indice_Richesse,Statut_Emploi,Ecoute_Radio,Regarde_TV
Region,1.0,0.5033848684913138,0.39240682828355544,0.26787149773646574,0.36617802959593637,0.23467658104334946,0.22667357528002738,0.40364302888538706
Type_Residence,0.5033848684913138,0.9998250878741463,0.3777034809060345,0.12779770179965028,0.6931152233280808,0.13140638293361173,0.20206368211893447,0.5195190565495051
Niveau_Education,0.39240682828355544,0.3777034809060345,1.0,0.2869238575575288,0.376227407242477,0.16169289648749718,0.2637258405463672,0.3963553016058315
Religion,0.26787149773646574,0.12779770179965025,0.28692385755752875,1.0,0.13764740284485602,0.15760308525264902,0.12867046482983072,0.19680169121931684
Indice_Richesse,0.36617802959593637,0.6931152233280808,0.37622740724247705,0.13764740284485602,1.0,0.1580774849128125,0.24894475274166042,0.5177400041682484
Statut_Emploi,0.23467658104334943,0.13140638293361173,0.16169289648749718,0.15760308525264902,0.1580774849128125,0.9998077216233501,0.013070157284535363,0.1257983322492836
Ecoute_Radio,0.2266735752800274,0.20206368211893447,0.2637258405463672,0.12867046482983072,0.24894475274166042,0.013070157284535365,1.0,0.35609857436473996
Regarde_TV,0.40364302888538706,0.5195190565495051,0.3963553016058315,0.19680169121931684,0.5177400041682484,0.12579833224928363,0.35609857436473996,1.0
